Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
MULT3,MULTIPLAN,ON N2,273506645,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
BPFF11,FII ABSOLUTO,CI,4492326,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
ALZR11,FII ALIANZA,CI,5926910,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BARI11,FII BARIGUI,CI,4634191,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BBPO11,FII BB PRGII,CI,15919690,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BCFF11,FII BC FFII,CI ER,25186378,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BRCR11,FII BC FUND,CI ER,26638202,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BCRI11,FII BEES CRI,CI,6257873,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BRCO11,FII BRESCO,CI,14778781,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
BTLG11,FII BTLG,CI ER,15228960,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
CPTS11,FII CAPI SEC,CI ER,25781435,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HGCR11,FII CSHG CRI,CI,15980616,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HGLG11,FII CSHG LOG,CI,21313413,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HGRU11,FII CSHG URB,CI,18406458,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
DEVA11,FII DEVANT,CI ER,10947069,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VRTA11,FII FATOR VE,CI,10000000,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
GTWR11,FII G TOWERS,CI,12000000,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
GGRC11,FII GGRCOVEP,CI,7758429,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HABT11,FII HABIT II,CI,5412107,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HCTR11,FII HECTARE,CI ER,18860456,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HGBS11,FII HEDGEBS,CI,10000000,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HGRE11,FII HG REAL,CI,11817767,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HSML11,FII HSI MALL,CI,15780613,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
HFOF11,FII HTOPFOF3,CI,22975000,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
IRDM11,FII IRIDIUM,CI ER,28000000,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
JSRE11,FII JS REAL,CI,20767328,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KISU11,FII KILIMA,CI,44196050,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNRI11,FII KINEA,CI,24157121,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNHY11,FII KINEA HY,CI,10690843,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNIP11,FII KINEA IP,CI,59134764,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNCR11,FII KINEA RI,CI,39097087,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNSC11,FII KINEA SC,CI,8560787,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MALL11,FII MALLS BP,CI,7560351,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MCCI11,FII MAUA,CI ER,12417281,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MXRF11,FII MAXI REN,CI,226039663,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MGFF11,FII MOGNO,CI ER,9050620,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
PATL11,FII PATR LOG,CI,4991535,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRP11,FII RBR PROP,CI ER,12179186,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRF11,FII RBRALPHA,CI ER,13680770,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRR11,FII RBRHGRAD,CI ER,10362300,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RECR11,FII REC RECE,CI ER,19379213,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RECT11,FII REC REND,CI ER,8179347,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBVA11,FII RIOB VA,CI,11588199,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RZTR11,FII RIZA TX,CI,11048018,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
SDIL11,FII SDI LOG,CI,8869047,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TGAR11,FII TG ATIVO,CI,11309571,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TORD11,FII TORDE EI,CI ER,35051354,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TRXF11,FII TRX REAL,CI,7641522,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
URPR11,FII URCA REN,CI,3320856,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VGIP11,FII VALORAIP,CI ER,7351274,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
CVBI11,FII VBI CRI,CI ER,9916926,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
LVBI11,FII VBI LOG,CI,11775177,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
PVBI11,FII VBI PRI,CI,13227854,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
